country	Access_to_Electricity_percent_of_Population	basic_drinking_water_access_pct	Control_of_Corruption_Percentile_Rank_Upper_Bound_of_90_percent_Confidence_Interval	death_20_24_years	Employment_in_Industry_Female_percent_of_Female_Employment_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15__Total_percent_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15_24_Male_percent_ILO_modeled_estimates	energy_consumption_gnipct	energy_intensity_mj_gdp	export_value_index_2000	export_volume_index_2000	Female_to_Male_Labor_Force_Participation_Rate_Ratio_percent_ILO_modeled_estimates	fertility_rate_total	gdp_deflator	GDP_per_Employed_Person_constant_2021_PPP_dollars	government_effectiveness_estimate	Gross_Enrollment_Ratio_of_Girls_in_Primary_School_percent	Labor_Force_Participation_Rate_Male_percent_of_Male_Population_Ages_15__ILO_modeled_estimates	Labor_Force_Participation_Rate_of_Women_Aged_15_24_percent_ILO_modeled_estimates	male_population_0_14_pct	Merchandise_Trade_percent_of_GDP	open_defecation_percent	personal_remittances_gdp_percent	Population_Aged_20_24_Female_percent_of_Female_Population	primary_school_enrollment_gross	refugee_population	Rule_of_Law_estimate	rural_electricity_access_pct	service_value_added_growth	Total_Cases	Unemployment_Rate_Youth_Total_percent_of_Total_Labor_Force_Ages_15_24_ILO_modeled_estimates	unemployment_total_ilo	voice_accountability_estimate	Women_Business_and_the_Law_Index_score_scale_1_100	women_parliament_seats_percent	year
SDN	27.68421053	58.3	45.72547368	12213	7.736842105	63.47368421	47.57894737	1.368421053	8.526315789	46.03457895	99.59431579	82.84210526	5.428842105	60.20605	11730	-0.696210526	94.10526316	74.36842105	48.36842105	45.09931579	41.20826316	63.94	1.473684211	9.433157895	96.56	837188	-0.622789474	49	4.842105263	1735.789474	27	7.421052632	-0.503157895	55	13.84210526	2003
SSD	27.68421053	41.187	45.72547368	4120	7.736842105	63.47368421	47.57894737	1.368421053	8.526315789	46.03457895	99.59431579	82.84210526	5.428842105	113	13481.21053	-0.696210526	94.10526316	74.36842105	48.36842105	45.09931579	41.20826316	71	1.473684211	9.433157895	35.2	118459	-0.622789474	0.2	4.842105263	1735.789474	19	7.421052632	-0.503157895	55	13.84210526	2003
SWE	100	99.518	100	270	10	59	43	0	5	72.919	87.268	88	1.71	82.833	102808	2.017	109	67	51	18.518	55.526	0	0	5.64	108	35	1.887	100	3	1	14	6	1.549	91	45	2003
SWZ	29	55.938	69.841	348	26	39	15	0	6	90.375	150.655	78	3.757	62.755	29275	-0.71	94	59	27	43.698	143.657	19.653	3	10.445	98	13	-0.614	20	5	32	54	26	-1.53	39	11	2003
TGO	23	49.193	39.683	1395	6	56	23	0	10	59.175	170.143	90	5.145	74.03	6870	-1.292	103	62	29	42.89	45.951	58.609	5	9.292	114	10609	-0.956	8	12	384	7	4	-1.181	51	7	2003
TZA	11	32.983	41.27	10489	2	85	75	0	12	25.16	57.093	96	5.605	35.454	4240	-0.499	94	89	79	45.219	21.964	11.126	0	9.535	97	703	-0.309	3	7	710	6	3	-0.427	68	21	2003
UGA	10	30.316	32.275	10403	5	67	54	0	13	23.449	42.667	85	6.702	43.63	4954	-0.453	133	76	52	51.464	28.864	12.679	5	8.527	135	35240	-0.541	4	8	4377	5	4	-0.702	47	25	2003
ZAF	79	86.162	73.016	27440	17	48	29	1	9	45.038	68.812	75	2.358	48.089	36638	0.6	94	70	34	34.269	38.692	10.108	0	9.437	95	284	0.038	66	5	3901	36	20	0.7	79	30	2003
ZMB	18	50.22	44.974	5796	3	50	29	0	12	14.841	38.331	77	5.726	41.582	9176	-1.008	89	67	36	49.032	52.103	25.627	1	9.566	93	95	-0.382	2	7	1049	28	15	-0.367	61	12	2003
ZWE	35	71.211	21.164	6880	5	62	51	0	15	51.412	99.295	85	3.821	5.732	8803	-0.935	107	71	43	43.63	59.013	29.701	0	12.115	110	7154	-1.607	9	-12	1009	9	5	-1.431	76	10	2003
AUS	100	99.756	98.03	787	9	60	63	1	5	46.123	68.288	78	1.768	59.058	100629	1.985	103	71	69	20.621	31.879	0	0	6.759	103	11	1.795	100	4	2	11	5	1.502	81	25	2004
BEL	100	100	91.626	406	11	48	30	0	5	77.327	85.746	73	1.72	83.688	135940	1.854	103	60	32	18.034	160.472	0	2	6.03	103	41	1.311	100	3	1	17	7	1.44	84	35	2004
BEN	25	62.866	50.246	1624	17	71	53	0	5	33.806	61.028	85	5.721	74.56	7002	-0.525	87	78	56	45.596	23.634	64.557	1	8.903	100	299	-0.477	8	3	642	1	1	0.053	47	7	2004
CHN	98	82.723	43.842	65603	24	71	58	3	11	26.098	33.533	84	1.605	58.812	9911	-0.11	111	81	63	22.063	59.046	2.006	0	7.969	110	134708	-0.585	96	10	246	9	4	-1.462	70	20	2004
CMR	47	59.241	23.645	6471	8	78	64	2	5	61.031	109.113	91	5.45	78.97	9664	-0.81	99	86	66	44.902	25.937	7.654	1	9.383	107	7631	-1.173	20	10	8005	8	5	-0.974	51	9	2004
COM	49	88.339	39.409	78	12	39	14	0	3	109.914	346.642	64	5.095	93.368	14225	-1.312	94	51	15	47.175	16.569	0.643	8	8.982	99	52	-1.017	40	2	1	10	5	-0.519	44	3	2004
DEU	100	100	97.044	2273	17	51	42	0	4	68.608	80.701	76	1.36	86.835	116773	1.467	104	65	45	15.456	57.762	0	0	5.658	104	74	1.62	100	1	3	13	11	1.496	79	33	2004
DNK	100	100	100	146	12	63	63	1	3	80.748	90.279	84	1.78	81.544	118027	2.287	100	72	64	19.41	57.777	0	0	5.412	100	10	1.931	100	2	1	8	5	1.801	91	38	2004
ETH	15	24.813	35.961	26474	9	79	78	0	20	23.28	43.097	82	6.107	18.568	2105	-0.879	57	90	70	47.565	35.06	64.308	1	8.347	65	63153	-0.893	3	5	16	4	3	-1.181	63	8	2004
GBR	100	100	98.03	2064	10	59	56	1	4	74.593	82.237	79	1.75	79.918	100573	1.868	106	69	59	19.146	33.841	0	0	6.294	106	141	1.608	100	3	13	11	5	1.597	89	18	2004
IND	64	82.405	49.754	221671	14	50	51	1	6	28.605	36.805	38	3.046	58.141	10899	-0.18	106	79	23	33.9	24.878	61.609	3	9.146	108	13335	0.053	53	8	4695	15	9	0.4	64	8	2004
IRN	98	94.969	54.68	11319	26	41	43	7	7	59.334	104.67	24	1.796	16.849	44578	-0.501	106	72	16	27.23	38.766	0.498	1	12.185	108	115171	-0.674	95	8	94	21	10	-1.233	26	4	2004
JPN	100	98.504	91.626	3321	18	58	39	0	5	90.519	79.532	66	1.29	105.283	81724	1.343	103	73	45	14.379	20.85	0	0	5.582	104	19	1.249	100	2	66	10	5	1.043	76	7	2004
KHM	14	58.533	27.586	2212	14	73	63	0	6	32.754	37.922	88	3.345	110.313	4384	-0.907	138	79	68	37.513	112.237	73.595	3	9.709	145	18109	-1.214	1	13	57	2	1	-0.871	66	10	2004
KOR	100	98.701	72.414	1898	17	61	25	0	7	48.19	40.544	67	1.164	82.032	62108	0.816	100	75	38	20.656	60.303	0	1	8.068	100	269	0.91	100	3	10	10	3	0.729	71	13	2004
MLI	16	56.165	41.872	3715	5	69	62	0	5	35.942	71.108	75	6.741	103.087	5610	-0.793	60	80	52	46.456	42.902	16.514	3	9.48	68	476	-0.194	3	4	2839	2	1	0.249	49	10	2004
MOZ	11	28.413	42.857	7608	0	80	60	0	22	44.059	56.371	105	5.667	45.538	2140	-0.592	87	80	75	46.018	44.587	51.512	1	8.649	96	94	-0.68	1	7	20080	6	3	-0.034	36	35	2004
MWI	7	57.195	34.483	6144	5	77	65	0	5	44.738	78.193	93	5.93	16.251	3025	-0.86	137	84	68	46.557	27.952	12.596	0	10.119	139	95	-0.13	3	7	675	7	5	-0.542	60	14	2004
MYS	99	96.951	71.921	2202	25	59	45	7	6	63.338	87.147	56	2.415	68.407	50294	1.046	96	77	35	32.175	185.822	1.144	1	9.066	96	287	0.459	98	7	16	12	4	-0.236	47	9	2004
NER	10	40.195	34.483	4665	12	77	75	0	6	40.184	83.982	77	7.634	64.271	2955	-0.765	37	90	58	48.338	30.528	79.756	2	8.433	46	676	-0.649	3	5	2178	6	3	-0.19	54	12	2004
NGA	46	50.433	11.823	39032	11	58	28	8	8	76.929	112.643	89	6.085	45.663	13298	-0.936	90	64	30	43.988	38.887	23.421	2	9.187	99	23882	-1.44	23	20	3186	9	4	-0.797	54	5	2004
NLD	100	100	98.03	376	8	62	66	0	4	62.656	72.623	78	1.72	87.015	113653	2.07	107	73	72	19.066	102.841	0	0	5.798	108	45	1.738	100	2	1	8	5	1.697	89	37	2004
PHL	88	87.516	35.961	10071	12	59	50	0	4	67.453	80.907	61	3.543	63.675	14238	-0.222	107	76	33	37.45	90.296	9.924	12	9.115	107	428	-0.629	84	8	533	9	4	0.026	72	15	2004
RWA	9	48.481	54.187	2983	1	54	43	0	6	14.392	29.735	78	5.573	45.448	4160	-0.703	130	70	45	44.683	16.074	3.762	0	10.518	129	63792	-0.852	2	10	586	16	12	-1.349	64	49	2004
SDN	26.52941176	58.3	39.87247059	12213	8.529411765	64.11764706	48.11764706	0.764705882	9.529411765	49.97870588	94.42035294	83.88235294	5.468117647	57.322	11730	-0.771058824	94.47058824	74.47058824	49.05882353	45.28388235	41.93605882	63.94	1.941176471	9.514352941	96.56666667	837188	-0.744529412	49	6.235294118	4064.529412	27	6.941176471	-0.618823529	55.47058824	15.82352941	2004
SSD	26.52941176	41.187	39.87247059	4120	8.529411765	64.11764706	48.11764706	0.764705882	9.529411765	49.97870588	94.42035294	83.88235294	5.468117647	113	9748.411765	-0.771058824	94.47058824	74.47058824	49.05882353	45.28388235	41.93605882	71	1.941176471	9.514352941	35.2	118459	-0.744529412	0.2	6.235294118	4064.529412	19	6.941176471	-0.618823529	55.47058824	15.82352941	2004
SWE	100	99.531	100	271	10	58	39	0	5	88.033	95.132	88	1.75	83.109	108223	2.1	100	66	48	18.272	58.086	0	0	5.656	100	30	1.873	100	4	1	19	7	1.739	91	45	2004
SWZ	31	56.77	61.576	359	26	38	15	0	6	107.55	155.576	78	3.731	65.185	30077	-1.084	100	59	27	43.076	139.851	18.571	3	10.707	105	6	-0.801	23	10	1075	54	27	-1.465	39	11	2004
TGO	25	50.426	32.512	1413	6	56	23	0	11	59.472	130.448	90	5.075	72.618	6619	-1.388	103	62	29	42.757	46.404	57.598	6	9.26	112	10818	-1.103	9	4	1080	7	4	-1.231	51	6	2004
TZA	11	34.482	46.305	10117	2	85	75	0	11	30.601	61.986	96	5.607	37.895	4421	-0.61	100	89	79	45.248	25.22	10.868	0	9.555	102	982	-0.39	3	8	10319	6	3	-0.534	68	21	2004
UGA	12	31.665	34.483	10009	5	68	55	0	13	28.828	48.588	85	6.653	50.43	5086	-0.472	125	76	52	51.448	29.977	12.173	4	8.539	127	31955	-0.694	5	6	3380	4	3	-0.724	47	24	2004
ZAF	81	86.682	72.906	28667	18	48	28	2	9	56.969	72.654	75	2.436	50.995	37552	0.559	95	69	33	33.34	38.94	9.435	0	9.798	97	261	0.005	73	4	2767	36	20	0.716	79	33	2004
ZMB	20	51.324	43.35	5738	3	50	29	0	11	23.85	46.16	77	5.715	49.78	9550	-0.931	99	67	36	48.797	59.925	24.396	1	9.583	103	119	-0.48	5	7	12149	30	15	-0.444	61	12	2004
ZWE	36	70.687	17.734	6892	5	63	51	1	16	58.093	97.822	86	3.738	6.169	8234	-1.007	106	71	43	43.882	70.466	29.05	0	12.301	109	9557	-1.689	10	-6	119	8	4	-1.554	76	10	2004
AFG	29	36.331	13.171	4506	10	43	57	0	1	67.203	111.023	20	6.905	51.531	8742	-1.229	73	79	15	50.437	46.024	22.585	0	8.194	100	2166139	-1.663	15	5	33	10	8	-1.125	26	27	2005
AUS	100	99.778	98.049	776	9	61	64	1	5	56.53	70.668	79	1.807	61.317	100426	1.746	103	72	70	20.419	33.259	0	0	6.841	103	41	1.713	100	4	2	11	5	1.507	81	25	2005
AUT	100	100	98.049	322	13	55	52	0	3	81.964	87.051	78	1.41	82.996	125684	1.68	102	66	55	16.895	79.885	0	1	6.15	102	62	1.847	100	3	1	11	6	1.379	85	34	2005
BEL	100	100	92.683	384	11	49	30	0	5	84.265	88.738	74	1.76	85.431	136455	1.707	103	61	32	17.92	169.322	0	2	5.98	103	95	1.258	100	3	2	21	8	1.421	84	35	2005
BEN	26	63.154	35.122	1668	18	71	51	0	5	34.38	58.57	86	5.676	77.762	6882	-0.653	86	77	55	45.412	24.301	63.605	2	8.968	98	402	-0.534	8	5	749	1	1	-0.03	66	7	2005
BFA	11	55.892	60.976	3561	4	71	71	0	6	21.504	37.079	72	6.182	78.816	4328	-0.605	50	86	59	46.542	28.114	64.741	1	9.284	57	602	-0.501	2	9	1050	6	4	-0.447	77	12	2005
CHN	98	83.816	42.927	65886	26	71	57	3	11	33.515	41.931	83	1.624	61.107	10942	-0.141	109	81	61	21.176	62.202	1.856	0	8.067	108	124086	-0.65	97	12	980	9	5	-1.501	70	20	2005
CMR	47	59.933	18.049	6657	8	78	65	4	5	70.505	101.426	91	5.407	80.042	9530	-0.931	96	86	65	44.76	28.683	7.44	0	9.43	105	9096	-1.19	15	7	2847	7	4	-1.034	51	9	2005
FIN	100	100	100	235	12	56	41	0	6	109.496	116.036	88	1.8	81.894	115794	2.125	99	65	50	18.107	60.65	0	0	6.087	100	5	1.951	100	2	1	20	8	1.687	94	38	2005
IDN	85	80.062	29.756	24802	16	59	43	6	5	57.856	77.583	56	2.433	53.429	17102	-0.503	110	83	38	29.528	56.922	25.256	2	9.319	111	34383	-0.798	75	8	1338	26	8	-0.122	64	11	2005
IND	69	83.037	52.195	220545	14	50	51	1	6	37.177	44.746	39	2.958	61.409	11635	-0.099	109	78	23	33.516	29.558	58.702	3	9.19	110	16275	0.133	59	9	3155	15	9	0.414	64	8	2005
JPN	100	98.541	91.22	3240	18	58	40	0	4	95.203	83.655	66	1.26	104.026	82845	1.285	103	73	45	14.277	22.991	0	0	5.452	103	10	1.224	100	2	43	9	4	1.006	76	9	2005
MLI	18	57.75	51.22	3752	5	69	62	0	5	40.524	80.97	75	6.716	110.82	5788	-0.72	63	80	52	46.545	42.337	15.754	3	9.46	72	512	-0.14	4	9	1178	2	1	0.248	49	10	2005
MOZ	12	30.027	48.293	7892	0	79	60	0	21	52.237	59.108	104	5.609	48.877	2230	-0.544	94	80	74	46.116	47.257	49.77	1	8.649	103	93	-0.634	2	8	2226	6	3	0.008	59	35	2005
MWI	7	58.023	40.976	5948	5	77	65	0	5	47.106	78.026	93	5.91	17.997	3046	-0.827	134	84	68	46.715	31.746	12.033	0	10.148	136	98	-0.124	2	12	1105	7	5	-0.528	60	14	2005
NER	7	40.808	42.927	4759	12	77	74	0	6	44.966	75.235	77	7.615	69.789	3082	-0.786	39	90	58	48.531	34.563	78.963	2	8.38	47	642	-0.721	2	7	553	6	3	-0.284	54	12	2005
NGA	47	52.018	18.049	38922	12	58	27	10	8	100.499	104.736	89	6.068	54.732	13831	-0.897	91	64	30	44.091	40.542	23.185	8	9.115	100	22123	-1.354	23	11	4477	9	4	-0.869	54	6	2005
NLD	100	100	98.537	356	9	60	59	0	4	71.238	79.956	78	1.71	88.745	119732	1.938	107	72	67	18.928	112.38	0	0	5.782	108	155	1.753	100	2	4	12	6	1.666	89	37	2005
NZL	100	100	100	206	11	65	59	1	5	63.251	74.141	81	1.97	78.263	80398	1.741	99	75	59	22.539	41.797	0	0	6.798	100	5	1.846	100	4	1	10	4	1.629	89	32	2005
PHL	80	87.908	40.976	10132	12	59	49	0	4	70.129	75.216	62	3.49	67.439	14610	-0.016	106	76	34	37.15	84.474	9.552	13	8.978	106	464	-0.334	70	5	139	10	4	-0.007	72	15	2005
RWA	5	49.35	48.293	2778	1	54	42	0	7	18.272	28.876	78	5.436	49.552	4427	-0.904	135	69	44	44.363	20.315	3.651	0	10.685	134	100252	-0.863	1	12	89	16	12	-1.194	64	49	2005
SDN	27	58.3	42.84088235	12213	7.941176471	64	48.88235294	1	8.764705882	51.28152941	79.85870588	82.76470588	5.435470588	62.13955556	11730	-0.748823529	97.17647059	75.35294118	48.64705882	44.88917647	42.75805882	61.62	1.823529412	9.697411765	98.73333333	837188	-0.690058824	49	6.588235294	1824.411765	27	7.647058824	-0.541235294	60.11764706	17.47058824	2005
SSD	27	41.187	42.84088235	4120	7.941176471	64	48.88235294	1	8.764705882	51.28152941	79.85870588	82.76470588	5.435470588	113	10231	-0.748823529	97.17647059	75.35294118	48.64705882	44.88917647	42.75805882	71	1.823529412	9.697411765	35.2	118459	-0.690058824	0.2	6.588235294	1824.411765	19	7.647058824	-0.541235294	60.11764706	17.47058824	2005
STP	56	71.367	52.195	41	4	46	42	0	5	60.124	99.135	52	4.964	62.495	16572	-0.718	124	72	23	42.829	41.773	63.699	1	10.396	125	23	-0.534	40	8	1966	24	16	0.062	54	9	2005
SWZ	34	57.598	59.512	369	26	38	14	0	5	97.671	135.928	79	3.682	69.459	31691	-0.951	103	59	27	42.495	111.072	17.485	3	10.948	108	12	-0.879	26	6	64	55	27	-1.495	39	11	2005
TGO	26	51.65	35.122	1429	7	56	22	0	11	65.323	168.641	90	5.069	76.885	6152	-1.456	103	62	29	42.634	53.384	56.589	6	9.227	111	51092	-1.064	10	-8	1320	7	4	-1.222	51	7	2005
TZA	14	35.981	46.829	9705	3	85	75	0	11	34.739	64.432	97	5.61	40.33	4612	-0.438	103	89	79	45.322	26.996	10.61	0	9.555	106	1542	-0.286	5	8	2945	6	3	-0.363	81	30	2005
UGA	9	33.037	34.634	9669	5	69	55	0	12	35.854	53.039	85	6.572	49.552	5208	-0.572	119	76	52	51.421	31.031	11.671	3	8.581	120	34208	-0.542	1	12	4924	3	2	-0.597	47	24	2005
ZAF	81	87.193	72.683	29166	17	48	27	2	8	63.734	76.179	76	2.512	53.849	38829	0.567	96	69	33	32.561	39.44	8.774	0	10.074	98	259	-0.012	73	5	3503	36	20	0.649	79	33	2005
ZMB	23	52.419	47.805	5658	3	50	28	0	11	27.394	44.297	77	5.71	58.069	9940	-0.937	110	67	36	48.564	52.425	23.177	1	9.607	114	146	-0.518	7	9	1503	32	16	-0.43	61	13	2005
ZWE	36	70.163	15.61	6742	5	62	51	1	18	56.954	91.921	86	3.665	6.486	7779	-1.358	106	71	43	44.215	72.908	28.394	0	12.349	108	11246	-1.835	11	-8	516	8	5	-1.675	76	16	2005
AGO	30	47.15	18.049	10539	2	65	36	33	3	96.025	81.675	96	6.419	431.501	23801	-1.381	95	79	59	46.609	77.585	34.247	0	8.787	101	206482	-1.311	1	9	67257	37	16	-1.252	62	15	2006
AUS	100	99.8	98.537	767	9	62	64	1	5	65.769	72.167	80	1.908	64.454	100745	1.708	103	72	70	20.23	35.099	0	0	6.903	104	29	1.757	100	3	3	10	5	1.383	81	25	2006
BEN	28	63.437	42.927	1724	18	71	49	0	6	43.761	67.404	88	5.636	79.39	6921	-0.647	88	77	54	45.263	27.921	62.66	3	8.994	98	207	-0.532	8	5	91	1	1	0.363	66	7	2006
CHN	98	84.866	46.341	66492	27	70	57	3	10	42.621	51.175	83	1.644	63.507	12244	0.036	107	80	60	20.476	63.967	1.711	0	8.211	106	140584	-0.7	97	14	161	9	4	-1.749	72	20	2006
CMR	49	60.61	20.976	6822	9	79	66	5	5	88.128	109.028	91	5.354	81.883	9543	-0.972	94	86	65	44.637	32.166	7.228	1	9.465	104	10373	-1.163	26	3	922	6	4	-1.024	51	9	2006
COG	35	61.643	22.439	1245	24	55	24	42	3	70.481	87.057	97	4.656	111.38	25578	-1.244	101	69	44	41.479	100.232	8.484	0	9.503	107	20599	-1.266	8	10	175	40	20	-1.208	49	9	2006
DEU	100	100	96.098	2017	16	53	45	0	4	83.555	91.564	78	1.33	87.533	116647	1.646	104	66	48	14.908	67.278	0	0	5.636	104	114	1.77	100	3	1	14	10	1.365	82	32	2006
ESP	100	100	91.22	1293	12	53	44	0	3	75.713	77.145	70	1.36	93.737	98038	0.83	103	68	44	15.127	43.035	0	0	6.236	104	2442	1.12	100	5	2	18	8	1.079	94	36	2006
ETH	19	27.808	40	24991	9	80	78	0	17	35.795	52.753	83	5.853	22.759	2423	-0.691	76	89	71	47.051	40.901	58.775	1	8.44	81	74007	-0.668	6	13	54070	3	2	-1.194	66	22	2006
GBR	100	100	96.098	2010	9	59	55	1	3	96.309	100.211	80	1.82	84.557	103319	1.667	105	70	60	18.729	39.485	0	0	6.384	104	170	1.772	100	2	49	14	5	1.379	92	20	2006
IND	68	83.666	55.122	218593	15	50	49	1	6	45.459	50.013	38	2.864	66.568	12291	-0.095	111	78	22	33.115	31.929	55.809	3	9.226	112	17797	0.179	57	7	1939	16	9	0.437	66	8	2006
ITA	100	99.711	74.146	1496	17	46	30	0	3	91.222	103.421	63	1.37	87.784	134027	0.356	103	61	27	14.984	44.083	0	0	5.006	104	106	0.379	100	2	1	22	7	1.065	89	17	2006
JPN	100	98.579	91.707	3171	18	58	40	0	4	103.489	93.118	66	1.32	103.129	83609	1.585	103	73	46	14.185	26.638	0	0	5.337	103	166	1.352	100	1	34	8	4	0.954	76	9	2006
MLI	17	59.333	48.78	3771	5	69	63	0	5	57.054	95.362	75	6.688	115.97	5872	-0.76	66	80	52	46.66	48.799	15.003	3	9.41	75	586	-0.287	2	7	7	2	1	0.297	49	10	2006
MOZ	13	31.674	40.976	8207	1	79	59	1	20	69.761	63.824	103	5.55	52.524	2400	-0.674	97	80	73	46.214	55.206	48.031	1	8.67	105	216	-0.62	2	11	6306	6	3	-0.086	59	35	2006
MWI	4	58.847	46.341	5725	5	76	64	0	5	61.885	93.637	93	5.841	21.591	3153	-0.893	134	83	66	46.874	34.013	11.472	0	10.11	135	112	-0.222	2	9	4148	7	5	-0.252	60	14	2006
MYS	99	96.967	70.732	2184	25	59	44	8	6	80.394	99.498	57	2.268	77.434	52568	1.238	98	77	34	30.826	178.982	0.932	1	9.484	97	575	0.449	98	7	237	11	3	-0.543	47	9	2006
NAM	40	78.937	71.22	717	8	44	20	0	3	65.075	70.617	81	3.535	55.027	36798	0.16	110	62	28	39.925	69.122	51.94	0	9.352	112	1196	0.196	21	6	185	43	22	0.481	74	27	2006
NER	9	41.4	35.122	4834	12	77	76	0	5	46.708	63.836	76	7.579	70.833	3139	-0.825	40	90	58	48.712	31.642	78.169	2	8.307	48	803	-0.602	2	4	1232	5	3	-0.325	54	12	2006
NGA	48	53.61	20	38704	11	58	28	8	8	116.946	102.17	89	6.081	67.793	14303	-0.967	92	64	30	44.208	35.751	22.943	7	9.019	100	13242	-1.075	24	12	2028	10	4	-0.623	54	6	2006
NLD	100	100	99.024	342	8	60	61	0	4	81.276	85.201	79	1.72	91.018	121997	1.785	107	71	67	18.748	119.961	0	0	5.785	108	41	1.77	100	4	3	10	5	1.54	89	37	2006
PHL	80	88.3	29.756	10224	12	59	47	0	3	80.592	82.683	63	3.486	70.886	15106	-0.134	104	75	33	36.818	79.503	9.179	12	8.86	104	888	-0.407	70	6	66	10	4	-0.091	72	15	2006
RWA	11	50.228	59.024	2584	1	54	42	0	7	21.597	29.641	79	5.28	50.772	4686	-0.379	145	69	44	44.163	22.23	3.539	0	10.732	143	92956	-0.676	4	13	405	16	12	-1.222	64	49	2006
SDN	26.73684211	58.3	40.51352632	12213	8.368421053	63.78947368	47	4.736842105	8.368421053	63.32652632	78.48031579	85.15789474	5.444	83.0084	11699.375	-0.806684211	101	74.94736842	49.10526316	45.183	52.02942105	59	1.736842105	9.546842105	102.475	837188	-0.703	49	7.789473684	8661.526316	27	8.684210526	-0.558421053	60	17.57894737	2006
SSD	26.73684211	41.187	40.51352632	4120	8.368421053	63.78947368	47	4.736842105	8.368421053	63.32652632	78.48031579	85.15789474	5.444	113	11772.15789	-0.806684211	101	74.94736842	49.10526316	45.183	52.02942105	71	1.736842105	9.546842105	36.5	118459	-0.703	0.2	7.789473684	8661.526316	19	8.684210526	-0.558421053	60	17.57894737	2006
STP	57	71.871	58.537	41	5	45	41	0	4	68.081	111.572	52	4.919	70.822	17647	-0.837	123	72	22	42.708	55.332	62.328	1	10.201	124	30	-0.511	41	7	926	24	17	0.272	54	7	2006
SWE	100	99.556	99.024	269	9	59	40	0	5	105.549	104.561	88	1.85	85.15	113388	1.801	100	68	52	17.693	65.078	0	1	5.744	100	16	1.851	100	4	1	21	7	1.486	97	47	2006
SWZ	35	58.42	70.244	378	26	38	14	0	5	98.774	121.196	79	3.617	72.266	33407	-0.552	108	58	27	41.964	108.467	16.395	3	11.138	114	16	-0.599	27	5	18	56	28	-1.251	39	11	2006
TGO	28	52.863	24.878	1439	7	56	22	0	11	62.375	80.883	90	5.078	76.493	6128	-1.494	107	62	29	42.464	51.643	55.581	7	9.212	115	27318	-0.949	7	12	1159	7	4	-1.195	51	9	2006
THA	99	96.263	51.22	9232	19	72	54	2	5	60.53	77.469	80	1.571	116.857	26498	0.418	104	81	41	21.84	116.566	0.797	1	7.875	104	3323	-0.069	99	5	35	5	1	-0.739	64	9	2006
TZA	15	37.48	57.561	9268	3	85	75	0	11	39.673	60.848	97	5.563	42.552	4771	-0.451	107	90	80	45.423	32.82	10.353	0	9.536	109	1665	-0.445	6	7	14297	6	3	-0.2	81	30	2006
UGA	9	34.433	36.098	9411	5	68	55	0	12	42.443	57.423	86	6.481	50.744	5616	-0.581	118	76	52	51.355	35.269	11.173	4	8.661	119	21735	-0.325	2	8	5194	3	2	-0.445	62	30	2006
ZMB	24	53.505	46.341	5604	3	51	30	0	10	57.07	56.468	77	5.686	66.513	10002	-0.878	113	67	36	48.314	53.65	21.972	0	9.632	115	199	-0.55	7	10	5360	27	13	-0.207	61	15	2006
ZWE	37	69.639	10.244	6450	5	62	51	1	19	61.572	85.732	86	3.62	6.355	7483	-1.261	105	71	43	44.454	75.81	27.736	0	12.221	108	12774	-1.752	9	-3	789	8	5	-1.539	84	17	2006
AGO	38	47.961	17.961	10570	1	65	36	39	3	133.8	100.004	96	6.372	450.092	26122	-1.205	99	79	59	46.559	88.954	32.958	0	8.834	104	186137	-1.375	4	6	18422	37	16	-1.185	62	15	2007
AUS	100	99.821	98.544	751	9	62	65	1	5	75.317	73.94	80	1.959	67.667	101371	1.819	105	73	70	20.062	35.87	0	0	6.935	105	57	1.744	100	4	3	9	4	1.369	81	27	2007
CHN	98	85.877	44.175	67190	29	70	56	3	10	53.683	61.328	83	1.666	68.428	13943	0.166	107	80	59	20.062	61.306	1.572	0	8.369	107	149087	-0.597	97	16	168	9	4	-1.721	72	21	2007
CMR	48	61.271	23.786	6964	9	79	66	5	4	104.236	117.826	91	5.331	82.284	9600	-0.854	97	85	65	44.512	37.14	7.02	1	9.49	106	11499	-1.186	6	8	10	5	3	-1.05	51	14	2007
COD	15	37.176	14.563	22631	4	68	35	2	15	35.694	35.464	95	6.582	136.298	2720	-1.735	78	73	47	46.638	38.836	11.117	0	8.535	87	370372	-1.615	2	12	28269	6	3	-1.211	42	8	2007
COG	36	62.707	19.903	1239	23	54	24	35	3	72.982	81.353	97	4.666	118.887	23070	-1.327	101	69	44	41.263	116.388	8.532	0	9.543	105	19726	-1.223	8	12	7785	40	20	-1.234	49	7	2007
COM	56	85.857	48.544	76	14	40	15	0	3	81.49	196.277	62	4.882	100	13493	-1.765	93	52	14	44.864	19.103	0.628	9	9.496	97	93	-1.04	48	1	1555	10	5	-0.388	44	3	2007
DEU	100	100	95.146	1943	16	54	47	0	4	99.624	97.575	79	1.37	89.083	117553	1.631	105	66	49	14.711	69.366	0	0	5.643	105	126	1.756	100	3	2	12	9	1.336	94	32	2007
ESP	100	100	90.291	1176	12	53	44	0	3	89.735	80.662	71	1.38	96.939	98501	0.987	102	68	43	15.182	43.595	0	0	6.038	103	37	1.154	100	5	2	18	8	1.123	98	37	2007
