country	Access_to_Electricity_percent_of_Population	basic_drinking_water_access_pct	Control_of_Corruption_Percentile_Rank_Upper_Bound_of_90_percent_Confidence_Interval	death_20_24_years	Employment_in_Industry_Female_percent_of_Female_Employment_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15__Total_percent_ILO_modeled_estimates	Employment_to_Population_Ratio_Ages_15_24_Male_percent_ILO_modeled_estimates	energy_consumption_gnipct	energy_intensity_mj_gdp	export_value_index_2000	export_volume_index_2000	Female_to_Male_Labor_Force_Participation_Rate_Ratio_percent_ILO_modeled_estimates	fertility_rate_total	gdp_deflator	GDP_per_Employed_Person_constant_2021_PPP_dollars	government_effectiveness_estimate	Gross_Enrollment_Ratio_of_Girls_in_Primary_School_percent	Labor_Force_Participation_Rate_Male_percent_of_Male_Population_Ages_15__ILO_modeled_estimates	Labor_Force_Participation_Rate_of_Women_Aged_15_24_percent_ILO_modeled_estimates	male_population_0_14_pct	Merchandise_Trade_percent_of_GDP	open_defecation_percent	personal_remittances_gdp_percent	Population_Aged_20_24_Female_percent_of_Female_Population	primary_school_enrollment_gross	refugee_population	Rule_of_Law_estimate	rural_electricity_access_pct	service_value_added_growth	Total_Cases	Unemployment_Rate_Youth_Total_percent_of_Total_Labor_Force_Ages_15_24_ILO_modeled_estimates	unemployment_total_ilo	voice_accountability_estimate	Women_Business_and_the_Law_Index_score_scale_1_100	women_parliament_seats_percent	year
TZA	9	28.666	44.149	11113	1	84	74	0	12	15.179	36.638	95	5.686	29.094	3836	-0.557	68	89	78	45.336	16.886	11.846	0	9.46	69	310	-0.337	2	5	4637	6	3	-0.472	68	19	2000
UGA	7	26.417	34.574	11608	5	67	54	0	13	17.769	31.851	83	6.832	39.982	4463	-0.492	124	76	52	51.462	31.308	14.216	4	8.593	129	32405	-0.866	2	5	1595	5	4	-0.993	47	18	2000
ZAF	72	84.577	81.383	20783	15	49	31	2	9	37.015	69.993	72	2.413	37.256	35574	0.646	88	72	36	37.505	39.326	12.182	0	7.987	90	168	0.149	55	5	19667	36	20	0.746	79	30	2000
ZWE	34	71.869	28.723	6418	5	62	49	0	13	59.263	120.333	85	3.974	5.136	11845	-0.757	107	72	44	43.652	56.622	31.457	0	11.387	111	109	-1.382	7	-5	1675	12	6	-1.085	70	9	2000
BEN	22	62.002	51.198	1497	17	71	59	0	5	22.237	51.109	81	5.824	69.329	6829	-0.486	72	80	58	46.1	27.194	67.398	2	8.678	87	52	-0.221	4	7	3943	1	1	0.232	49	6	2001
BFA	10	57.741	73.738	3464	3	75	74	0	5	10.247	20.853	78	6.431	72.577	3683	-0.815	37	87	64	47.628	27.552	73.429	2	9.008	45	90	-0.766	2	7	477	4	3	-0.309	71	8	2001
CHN	97	79.253	52.271	63107	25	73	61	2	10	11.704	16.216	85	1.563	53.273	7672	-0.141	117	82	67	24.659	38.051	2.486	0	7.529	116	117403	-0.517	95	10	178	8	4	-1.489	62	22	2001
CMR	46	57.066	22.543	5808	8	76	62	3	6	43.098	107.994	91	5.443	75.261	9201	-0.867	94	86	66	45.524	32.875	8.314	0	9.099	102	2729	-1.229	14	6	259	11	7	-1.079	51	6	2001
COM	42	90.841	48.266	80	12	40	15	0	3	100.292	342.405	62	5.254	82.476	14138	-0.962	93	52	16	47.317	17.965	0.658	5	8.665	101	25	-0.957	33	2	226	10	4	-0.689	44	2	2001
DEU	100	100	96.551	2637	18	53	48	0	4	43.104	69.663	74	1.35	83.605	112753	1.732	106	66	48	16.256	54.362	0	0	5.441	107	1028	1.622	100	3	1	8	8	1.364	77	31	2001
ESP	100	100	91.513	1894	14	47	40	0	4	41.329	66.145	60	1.23	77.059	102649	1.736	104	65	37	15.251	43.214	0	0	7.581	105	45	1.318	100	4	1	21	10	1.276	94	28	2001
IND	62	80.489	49.346	222530	12	52	53	1	7	16.182	25.682	37	3.303	51.048	9353	-0.188	91	81	24	35.006	19.313	70.413	3	9.014	99	11560	0.165	51	6	4081	14	8	0.389	64	9	2001
IRN	98	94.365	58.882	9263	27	39	41	7	8	36.555	94.42	20	1.94	9.309	41669	-0.555	100	73	14	31.412	33.416	0.528	1	10.69	103	92490	-0.671	95	5	105	25	12	-1.004	26	3	2001
JPN	100	98.504	87.541	3785	21	59	41	0	5	64.567	59.701	65	1.33	109.747	77750	1.079	104	76	46	14.822	17.203	0	0	6.185	104	5	1.219	100	2	30	10	5	0.986	76	7	2001
MDG	15	37.581	65.234	4359	7	82	67	0	7	45.305	71.191	94	5.323	52.997	3974	-0.462	96	89	73	45.37	37.622	41.386	0	8.978	97	36	-0.202	4	6	7219	8	5	-0.021	49	8	2001
MLI	11	51.394	46.151	3540	4	69	62	0	4	26.687	74.416	76	6.852	104.03	5412	-0.878	50	80	52	46.56	49.447	18.852	3	9.322	59	311	-0.253	2	10	67	2	1	0.118	49	12	2001
MWI	5	54.694	46.458	6476	5	76	65	0	5	41.57	69.921	93	5.993	7.908	2875	-0.561	145	84	67	46.171	39.832	14.289	0	9.644	150	26	-0.459	1	-2	2395	7	5	-0.358	60	9	2001
MYS	99	96.939	71.085	2099	30	59	46	6	6	43.995	63.665	56	2.757	60.573	46090	0.957	99	78	37	33.749	174.29	1.485	0	8.662	98	77	0.294	98	4	557	12	4	-0.457	47	10	2001
NER	8	38.232	40.324	4307	12	78	76	0	6	25.012	69.875	77	7.695	62.536	2981	-0.987	28	89	57	47.799	27.933	82.136	1	8.464	35	478	-0.706	2	4	194	3	1	-0.162	48	1	2001
NGA	44	45.729	12.483	38770	11	58	27	8	11	35.935	80.143	90	6.139	28.442	10659	-0.995	86	64	30	43.743	40.283	24.089	2	9.244	96	6077	-1.328	22	7	2199	10	4	-0.558	54	3	2001
PHL	76	86.346	46.42	9609	13	59	49	0	4	54.652	58.801	62	3.718	55.907	13233	-0.192	110	76	34	38.162	84.985	11.038	11	9.312	109	45469	-0.388	63	4	174	10	4	0.198	70	18	2001
SDN	24.86666667	58.3	46.90026667	12213	9.133333333	65.46666667	50.4	0.866666667	7.733333333	36.97566667	89.136	83	5.525733333	57.0674375	11730	-0.659733333	86.73333333	76.06666667	50	45.4076	41.67886667	63.94	1.8	9.229066667	89.5125	837188	-0.675466667	49	3.933333333	8909	27	6.133333333	-0.495466667	55.26666667	10	2001
SSD	24.86666667	41.187	46.90026667	4120	9.133333333	65.46666667	50.4	0.866666667	7.733333333	36.97566667	89.136	83	5.525733333	113	9995.933333	-0.659733333	86.73333333	76.06666667	50	45.4076	41.67886667	71	1.8	9.229066667	35.2	118459	-0.675466667	0.2	3.933333333	8909	19	6.133333333	-0.495466667	55.26666667	10	2001
SWZ	27	54.257	70.819	325	26	39	17	0	6	58.161	103.903	77	3.9	54.355	27551	-0.574	94	60	28	45.028	141.526	21.807	3	9.901	97	15	-0.749	18	1	5612	52	25	-1.432	39	3	2001
TGO	20	46.698	48.278	1340	5	56	23	0	10	35.327	110.908	89	5.23	72.586	6561	-1.128	102	62	30	43.138	43.468	60.636	3	9.356	115	4356	-0.74	5	-9	2696	7	4	-1.255	51	5	2001
TZA	10	30.073	41.122	11019	1	84	74	0	12	17.612	44.543	95	5.665	30.495	3950	-0.522	74	89	78	45.278	18.896	11.613	0	9.488	75	369	-0.339	2	6	1300	5	3	-0.436	68	22	2001
UGA	9	27.691	33.16	11228	5	67	54	0	14	19.873	39.822	84	6.81	41.795	4557	-0.487	127	76	52	51.523	35.014	13.701	6	8.541	131	40133	-0.782	2	11	247	5	4	-0.962	47	25	2001
ZAF	70	85.101	77.464	23193	16	49	31	2	9	36.12	71.295	73	2.373	40.163	35710	0.627	90	71	35	36.399	42.462	11.487	0	8.469	91	131	0.088	49	4	106151	36	20	0.703	79	30	2001
ZWE	34	72.016	26.266	6618	5	62	50	0	13	37.159	78.662	85	3.954	5.129	11858	-0.799	113	72	44	43.536	43.114	31.283	0	11.579	116	257	-1.489	8	-1	650	11	5	-1.224	70	10	2001
AUS	100	99.712	95.238	836	9	59	62	1	6	34.65	66.198	77	1.756	55.55	97393	1.659	102	72	68	21.036	34.797	0	0	6.606	103	9	1.767	100	4	5	13	6	1.407	81	25	2002
AUT	100	100	97.884	319	13	56	56	0	3	51.512	74.23	74	1.39	78.531	119462	1.88	102	68	51	17.568	73.216	0	1	5.794	103	72	1.858	100	3	1	7	5	1.307	79	30	2002
BEN	23	62.276	49.735	1537	17	71	57	0	5	26.637	63.015	83	5.777	71.793	6914	-0.576	78	79	59	45.92	27.966	66.482	2	8.759	93	228	-0.261	7	3	270	1	1	0.051	49	6	2002
CHN	97	80.44	46.032	64185	24	73	60	1	10	14.322	20.498	84	1.566	53.594	8319	-0.123	115	82	65	23.785	42.213	2.322	0	7.697	114	132099	-0.517	96	10	4	9	4	-1.594	65	22	2002
CMR	44	57.807	23.81	6044	8	76	63	2	6	44.404	104.398	91	5.458	77.35	9251	-0.911	94	86	66	45.286	29.54	8.092	0	9.219	102	5228	-1.265	14	2	66	10	7	-1.097	51	9	2002
